step,elo,vs_random_winrate,vs_pool_winrate,vs_opponent_winrate,features_discovered,policy_loss,value_loss,entropy,pool_size,opponent,iteration,episodes,elapsed_seconds
196608,1028.7625242588404,1.0,0.96,0.8868120456905504,0,-0.0018151180738333488,0.11729949535479664,3.2406042612331283,2,pool_step_0,0,2889,253.00615239143372
393216,1065.9710981247142,1.0,0.96,0.9194743935309974,0,-0.0015435818162631298,0.09079181102192017,3.3305355198132074,3,pool_step_196608,1,2968,207.818110704422
589824,1075.0545800373106,1.0,0.685,0.9986659043262817,0,-0.0014786360263450262,0.023490210861943254,3.6614718847567933,4,random,2,10494,271.59327387809753
638976,1089.5415823451065,1.0,0.728,0.863519313304721,0,-0.0008444392561833109,0.041839382840152095,0.9994796410782244,5,pool_step_589824,3,1165,82.25937485694885
